Neurons,Episode Number,CPU in %,Ram,Start Time,End Time,Execution Time,Reward Total,Running Mean 
800,3785,88.8,10.4,2022-08-10 03:39:31.740652,2022-08-10 11:08:05.104076,7:28:33.363424,-11.0,-15.158398453586445
800,3786,85.3,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:08:16.775956,7:28:45.035304,-12.0,-15.12681446905058
800,3787,86.8,11.5,2022-08-10 03:39:31.740652,2022-08-10 11:08:29.088452,7:28:57.347800,-14.0,-15.115546324360073
800,3788,88.5,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:08:38.322829,7:29:06.582177,-17.0,-15.134390861116472
800,3789,88.1,10.4,2022-08-10 03:39:31.740652,2022-08-10 11:08:50.041579,7:29:18.300927,-14.0,-15.123046952505307
800,3790,86.1,11.5,2022-08-10 03:39:31.740652,2022-08-10 11:09:03.010331,7:29:31.269679,-12.0,-15.091816482980253
800,3791,89.8,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:09:13.947826,7:29:42.207174,-16.0,-15.10089831815045
800,3792,86.7,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:09:24.088451,7:29:52.347799,-16.0,-15.109889334968946
800,3793,87.2,10.3,2022-08-10 03:39:31.740652,2022-08-10 11:09:34.525952,7:30:02.785300,-19.0,-15.148790441619255
800,3794,88.0,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:09:44.869702,7:30:13.129050,-13.0,-15.127302537203063
800,3795,88.2,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:09:55.197831,7:30:23.457179,-18.0,-15.156029511831031
800,3796,86.7,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:10:05.744704,7:30:34.004052,-16.0,-15.164469216712721
800,3797,87.3,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:10:16.463455,7:30:44.722803,-16.0,-15.172824524545593
800,3798,87.9,10.3,2022-08-10 03:39:31.740652,2022-08-10 11:10:27.260326,7:30:55.519674,-11.0,-15.131096279300136
800,3799,86.6,11.1,2022-08-10 03:39:31.740652,2022-08-10 11:10:36.838456,7:31:05.097804,-15.0,-15.129785316507135
800,3800,86.8,11.5,2022-08-10 03:39:31.740652,2022-08-10 11:10:49.807205,7:31:18.066553,-10.0,-15.078487463342064
800,3801,87.4,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:11:00.432203,7:31:28.691551,-10.0,-15.027702588708642
800,3802,87.2,10.3,2022-08-10 03:39:31.740652,2022-08-10 11:11:11.557201,7:31:39.816549,-15.0,-15.027425562821556
800,3803,88.3,10.9,2022-08-10 03:39:31.740652,2022-08-10 11:11:20.072829,7:31:48.332177,-17.0,-15.04715130719334
800,3804,88.3,11.1,2022-08-10 03:39:31.740652,2022-08-10 11:11:29.588453,7:31:57.847801,-15.0,-15.046679794121408
800,3805,87.4,11.1,2022-08-10 03:39:31.740652,2022-08-10 11:11:39.104078,7:32:07.363426,-16.0,-15.056212996180193
800,3806,86.5,11.0,2022-08-10 03:39:31.740652,2022-08-10 11:11:46.619705,7:32:14.879053,-15.0,-15.055650866218391
