Neurons,Episode Number,CPU in %,Ram,Start Time,End Time,Execution Time,Running Mean 
200,1545,67.1,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:05:48.825735,0:41:45.828028,-19.91922072719541
200,1546,68.3,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:50.700738,0:41:47.703031,-19.910028519923458
200,1547,71.8,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:52.278862,0:41:49.281155,-19.91092823472422
200,1548,65.9,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:05:54.013235,0:41:51.015528,-19.91181895237698
200,1549,66.3,9.4,2022-08-10 15:24:02.997707,2022-08-10 16:05:55.403861,0:41:52.406154,-19.92270076285321
200,1550,67.5,9.1,2022-08-10 15:24:02.997707,2022-08-10 16:05:57.060104,0:41:54.062397,-19.91347375522468
200,1551,67.2,9.4,2022-08-10 15:24:02.997707,2022-08-10 16:05:58.560109,0:41:55.562402,-19.914339017672432
200,1552,66.8,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:00.278859,0:41:57.281152,-19.905195627495708
200,1553,64.1,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:01.716359,0:41:58.718652,-19.90614367122075
200,1554,66.5,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:03.372609,0:42:00.374902,-19.917082234508545
200,1555,67.6,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:04.966362,0:42:01.968655,-19.92791141216346
200,1556,70.3,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:06:06.810106,0:42:03.812399,-19.938632298041828
200,1557,68.2,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:08.481984,0:42:05.484277,-19.94924597506141
200,1558,67.7,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:10.200733,0:42:07.203026,-19.949753515310793
200,1559,70.9,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:11.919486,0:42:08.921779,-19.950255980157685
200,1560,66.8,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:13.685104,0:42:10.687397,-19.96075342035611
200,1561,70.1,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:15.122610,0:42:12.124903,-19.961145886152547
200,1562,69.0,9.1,2022-08-10 15:24:02.997707,2022-08-10 16:06:16.888230,0:42:13.890523,-19.96153442729102
200,1563,66.0,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:18.450728,0:42:15.453021,-19.96191908301811
200,1564,67.1,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:20.106977,0:42:17.109270,-19.94229989218793
200,1565,65.1,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:06:22.388233,0:42:19.390526,-19.93287689326605
200,1566,71.7,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:06:24.513235,0:42:21.515528,-19.943548124333393
200,1567,65.9,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:26.138235,0:42:23.140528,-19.944112643090058
200,1568,63.4,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:27.794484,0:42:24.796777,-19.954671516659158
200,1569,69.8,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:29.528860,0:42:26.531153,-19.955124801492566
200,1570,70.3,9.0,2022-08-10 15:24:02.997707,2022-08-10 16:06:31.028857,0:42:28.031150,-19.94557355347764
200,1571,68.8,9.4,2022-08-10 15:24:02.997707,2022-08-10 16:06:32.481985,0:42:29.484278,-19.946117817942863
200,1572,67.9,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:06:34.450737,0:42:31.453030,-19.936656639763434
200,1573,67.5,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:35.966362,0:42:32.968655,-19.9472900733658
200,1574,65.4,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:37.794484,0:42:34.796777,-19.947817172632142
200,1575,67.5,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:06:39.622608,0:42:36.624901,-19.94833900090582
200,1576,66.8,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:41.294482,0:42:38.296775,-19.94885561089676
200,1577,68.3,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:06:43.169483,0:42:40.171776,-19.939367054787795
200,1578,66.4,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:45.028859,0:42:42.031152,-19.92997338423992
200,1579,69.6,9.1,2022-08-10 15:24:02.997707,2022-08-10 16:06:46.700732,0:42:43.703025,-19.93067365039752
200,1580,68.7,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:06:48.794480,0:42:45.796773,-19.921366913893547
200,1581,67.1,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:50.575731,0:42:47.578024,-19.932153244754613
200,1582,67.3,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:52.200735,0:42:49.203028,-19.932831712307067
200,1583,69.5,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:06:54.138229,0:42:51.140522,-19.913503395183994
200,1584,68.5,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:55.716353,0:42:52.718646,-19.914368361232153
200,1585,66.2,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:57.310109,0:42:54.312402,-19.905224677619834
200,1586,66.2,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:06:59.091359,0:42:56.093652,-19.896172430843638
200,1587,69.2,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:07:00.903858,0:42:57.906151,-19.8972107065352
200,1588,66.4,9.1,2022-08-10 15:24:02.997707,2022-08-10 16:07:02.856984,0:42:59.859277,-19.90823859946985
200,1589,70.4,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:07:04.544483,0:43:01.546776,-19.899156213475152
200,1590,66.4,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:07:06.263231,0:43:03.265524,-19.910164651340402
200,1591,67.6,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:07:08.278857,0:43:05.281150,-19.901063004826998
200,1592,70.2,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:07:10.216358,0:43:07.218651,-19.89205237477873
200,1593,71.3,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:07:11.903859,0:43:08.906152,-19.903131851030942
200,1594,67.6,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:07:13.325729,0:43:10.328022,-19.91410053252063
200,1595,66.5,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:07:15.216361,0:43:12.218654,-19.914959527195425
200,1596,70.0,9.4,2022-08-10 15:24:02.997707,2022-08-10 16:07:16.466353,0:43:13.468646,-19.92580993192347
200,1597,68.1,9.1,2022-08-10 15:24:02.997707,2022-08-10 16:07:18.325733,0:43:15.328026,-19.916551832604238
200,1598,69.1,9.4,2022-08-10 15:24:02.997707,2022-08-10 16:07:19.794486,0:43:16.796779,-19.927386314278195
200,1599,71.4,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:07:21.731984,0:43:18.734277,-19.938112451135414
200,1600,69.3,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:07:23.997607,0:43:20.999900,-19.92873132662406
200,1601,66.5,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:07:25.888236,0:43:22.890529,-19.92944401335782
200,1602,64.7,9.4,2022-08-10 15:24:02.997707,2022-08-10 16:07:27.216352,0:43:24.218645,-19.940149573224243
200,1603,74.0,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:07:28.747610,0:43:25.749903,-19.940748077492
200,1604,71.8,9.4,2022-08-10 15:24:02.997707,2022-08-10 16:07:30.106984,0:43:27.109277,-19.95134059671708
200,1605,67.2,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:07:31.919486,0:43:28.921779,-19.941827190749912
200,1606,68.3,9.2,2022-08-10 15:24:02.997707,2022-08-10 16:07:34.185104,0:43:31.187397,-19.932408918842413
200,1607,67.8,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:07:35.856984,0:43:32.859277,-19.94308482965399
200,1608,68.6,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:07:37.497608,0:43:34.499901,-19.94365398135745
200,1609,69.7,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:07:39.325737,0:43:36.328030,-19.944217441543874
200,1610,66.8,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:07:40.856981,0:43:37.859274,-19.944775267128435
200,1611,65.9,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:07:42.481986,0:43:39.484279,-19.935327514457153
200,1612,69.4,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:07:44.294485,0:43:41.296778,-19.945974239312584
200,1613,68.0,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:07:46.200736,0:43:43.203029,-19.946514496919455
200,1614,68.3,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:07:48.169481,0:43:45.171774,-19.91704935195026
200,1615,66.9,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:07:50.060107,0:43:47.062400,-19.917878858430758
200,1616,64.2,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:07:51.716360,0:43:48.718653,-19.918700069846448
200,1617,69.7,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:07:53.497609,0:43:50.499902,-19.929513069147983
200,1618,67.0,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:07:54.919484,0:43:51.921777,-19.940217938456506
200,1619,68.6,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:07:56.638227,0:43:53.640520,-19.94081575907194
200,1620,68.1,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:07:58.638228,0:43:55.640521,-19.95140760148122
200,1621,69.0,9.7,2022-08-10 15:24:02.997707,2022-08-10 16:08:00.825735,0:43:57.828028,-19.931893525466407
200,1622,66.7,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:08:02.606980,0:43:59.609273,-19.922574590211745
200,1623,68.0,9.0,2022-08-10 15:24:02.997707,2022-08-10 16:08:03.950729,0:44:00.953022,-19.933348844309627
200,1624,68.0,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:08:05.903858,0:44:02.906151,-19.924015355866533
200,1625,68.0,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:08:07.638234,0:44:04.640527,-19.924775202307867
200,1626,69.1,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:08:09.435108,0:44:06.437401,-19.925527450284786
200,1627,66.5,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:08:11.325735,0:44:08.328028,-19.926272175781936
200,1628,66.5,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:08:12.981985,0:44:09.984278,-19.927009454024116
200,1629,66.7,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:08:14.716357,0:44:11.718650,-19.927739359483873
200,1630,68.2,9.7,2022-08-10 15:24:02.997707,2022-08-10 16:08:17.028852,0:44:14.031145,-19.908461965889032
200,1631,70.5,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:08:18.747611,0:44:15.749904,-19.90937734623014
200,1632,67.6,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:08:20.919484,0:44:17.921777,-19.910283572767838
200,1633,66.7,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:08:22.513232,0:44:19.515525,-19.92118073704016
200,1634,69.8,9.1,2022-08-10 15:24:02.997707,2022-08-10 16:08:24.403855,0:44:21.406148,-19.931968929669758
200,1635,63.3,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:08:26.341361,0:44:23.343654,-19.94264924037306
200,1636,68.8,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:08:27.794482,0:44:24.796775,-19.94322274796933
200,1637,67.6,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:08:29.481984,0:44:26.484277,-19.933790520489637
200,1638,66.5,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:08:31.044486,0:44:28.046779,-19.944452615284742
200,1639,67.4,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:08:33.247610,0:44:30.249903,-19.945008089131893
200,1640,65.1,9.3,2022-08-10 15:24:02.997707,2022-08-10 16:08:35.731982,0:44:32.734275,-19.915558008240577
200,1641,64.5,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:08:37.731984,0:44:34.734277,-19.91640242815817
200,1642,69.8,9.4,2022-08-10 15:24:02.997707,2022-08-10 16:08:39.075735,0:44:36.078028,-19.92723840387659
200,1643,67.8,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:08:40.653861,0:44:37.656154,-19.92796601983782
200,1644,69.4,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:08:42.669481,0:44:39.671774,-19.938686359639444
200,1645,66.4,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:08:44.763234,0:44:41.765527,-19.93929949604305
200,1646,64.8,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:08:46.528862,0:44:43.531155,-19.92990650108262
200,1647,69.1,9.4,2022-08-10 15:24:02.997707,2022-08-10 16:08:47.794484,0:44:44.796777,-19.940607436071794
200,1648,67.9,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:08:49.278857,0:44:46.281150,-19.941201361711077
200,1649,70.1,9.1,2022-08-10 15:24:02.997707,2022-08-10 16:08:51.106977,0:44:48.109270,-19.941789348093966
